feature,feature value,n_samples,precision,recall,fbeta
workclass,Self-emp-not-inc,466,0.7403846153846154,0.5703703703703704,0.6443514644351465
workclass,Local-gov,406,0.6724137931034483,0.7155963302752294,0.6933333333333334
workclass,Private,4576,0.7828571428571428,0.6775469831849654,0.7264050901378578
workclass,?,383,0.75,0.375,0.5
workclass,Self-emp-inc,226,0.7692307692307693,0.7964601769911505,0.782608695652174
workclass,Federal-gov,199,0.7692307692307693,0.7352941176470589,0.7518796992481205
workclass,State-gov,253,0.6933333333333334,0.8,0.7428571428571429
workclass,Without-pay,2,1.0,1.0,1.0
workclass,Never-worked,2,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education,Some-college,1449,0.7224669603524229,0.5963636363636363,0.6533864541832669
education,Masters,338,0.8341708542713567,0.907103825136612,0.869109947643979
education,Bachelors,1113,0.7455621301775148,0.8217391304347826,0.7817993795243019
education,Assoc-acdm,187,0.675,0.5869565217391305,0.627906976744186
education,HS-grad,2103,0.7290322580645161,0.37293729372937295,0.4934497816593887
education,Assoc-voc,295,0.7313432835820896,0.6125,0.6666666666666667
education,11th,254,0.75,0.25,0.375
education,9th,81,1.0,0.0,0.0
education,10th,183,0.6,0.21428571428571427,0.3157894736842105
education,7th-8th,121,0.5,0.14285714285714285,0.22222222222222224
education,12th,89,0.6666666666666666,0.4,0.5
education,Prof-school,118,0.8787878787878788,0.9456521739130435,0.9109947643979057
education,Doctorate,77,0.8548387096774194,0.9137931034482759,0.8833333333333333
education,1st-4th,34,1.0,0.0,0.0
education,Preschool,11,1.0,1.0,1.0
education,5th-6th,60,0.5,0.3333333333333333,0.4
feature,feature value,n_samples,precision,recall,fbeta
marital-status,Married-civ-spouse,2968,0.767799352750809,0.7129977460555973,0.7393844955200622
marital-status,Never-married,2150,0.6984126984126984,0.5365853658536586,0.6068965517241379
marital-status,Divorced,890,0.6862745098039216,0.4166666666666667,0.5185185185185186
marital-status,Separated,216,1.0,0.7692307692307693,0.8695652173913044
marital-status,Widowed,199,0.6666666666666666,0.2222222222222222,0.3333333333333333
marital-status,Married-spouse-absent,83,0.8333333333333334,0.5,0.625
marital-status,Married-AF-spouse,7,1.0,0.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
occupation,Craft-repair,849,0.6869565217391305,0.4114583333333333,0.5146579804560261
occupation,Prof-specialty,800,0.7925531914893617,0.8538681948424068,0.8220689655172413
occupation,Exec-managerial,826,0.7710280373831776,0.8505154639175257,0.8088235294117647
occupation,Farming-fishing,201,0.7857142857142857,0.5,0.6111111111111112
occupation,Machine-op-inspct,371,0.6875,0.28205128205128205,0.4
occupation,Adm-clerical,809,0.7777777777777778,0.6057692307692307,0.6810810810810811
occupation,Other-service,602,0.8461538461538461,0.3548387096774194,0.5
occupation,?,385,0.75,0.375,0.5
occupation,Sales,723,0.7653631284916201,0.6586538461538461,0.7080103359173127
occupation,Handlers-cleaners,273,0.6,0.2,0.3
occupation,Transport-moving,320,0.7741935483870968,0.4067796610169492,0.5333333333333334
occupation,Tech-support,190,0.7540983606557377,0.8214285714285714,0.7863247863247863
occupation,Protective-serv,129,0.5757575757575758,0.5,0.5352112676056339
